Age,Salary_(k$),Purchased
19,19,0
35,20,0
26,43,0
27,57,0
19,76,0
27,58,0
27,84,0
32,150,1
25,33,0
35,65,0
26,80,0
26,52,0
20,86,0
32,18,0
18,82,0
29,80,0
47,25,1
45,26,1
46,28,1
48,29,1
45,22,1
47,49,1
48,41,1
45,22,1
46,23,1
47,20,1
49,28,1
47,30,1
29,43,0
31,18,0
60,46,1
60,83,1
39,73,0
59,130,1
37,80,0
46,32,1
46,74,0
42,53,0
41,87,1
58,23,1
42,64,0
48,33,1
44,139,1
49,28,1
57,33,1
56,60,1
49,39,1
39,71,0
47,34,1
48,35,1
48,33,1
47,23,1
45,45,1
60,42,1
39,59,0
46,41,1
51,23,1
50,20,1
36,33,0
49,36,1
